iata,icao,name,country,latitude,longitude,altitude,continent
WWT,PAEW,Newtok Airport,United States,60.939419,-164.641541,10,America
EWK,KEWK,Newton City County Airport,United States,38.058201,-97.274498,1533,America
TNU,KTNU,Newton Municipal Airport,United States,41.674442,-93.021667,953,America
NGL,FANG,Ngala Airport,South Africa,-24.390184,31.327129,1457,Africa
NGE,FKKN,Ngaoundere Airport,Cameroon,7.357011,13.55924,3655,Africa
RPM,YNGU,Ngukurr Airport,Australia,-14.723298,134.747406,40,Australia
CXR,VVCR,Nha Trang Cam Ranh International Airport,Vietnam,11.993611,109.224998,40,Asia
IAG,KIAG,Niagara Falls International Airport,United States,43.10733,-78.946098,592,America
NIM,DRRN,Niamey Diori Hamani International Airport,Niger,13.48154,2.183614,732,Africa
NIU,NTKN,Niau Airport,French Polynesia,-16.121988,-146.373245,10,Pacific
NCE,LFMN,Nice Cote d'Azur Airport,France,43.661453,7.21736,12,Europe
NLS,YNIC,Nicholson Airport,Australia,-18.052446,128.905746,1302,Australia
NIF,YCNF,Nifty Airport,Australia,-21.6717,121.586998,295,Australia
NME,PAGT,Nightmute Airport,United States,60.471046,-164.700836,14,America
KIJ,RJSN,Niigata Airport,Japan,37.955891,139.120697,29,Asia
NLI,UHNN,Nikolayevsk-na-Amur Airport,Russia,53.154167,140.651108,177,Asia
FNI,LFTW,Nimes Ales Camargue Cevennes Airport,France,43.7575,4.416389,309,Europe
NGB,ZSNB,Ningbo Lishe International Airport,China,29.826679,121.461899,13,Asia
NLH,ZPNL,Ninglang Luguhu Airport,China,27.542559,100.759323,10759,Asia
NIT,LFBN,Niort Souche Airport,France,46.313419,-0.39443,201,Europe
INI,LYNI,Nis Constantine the Great Airport,Serbia,43.33728,21.85372,648,Europe
IUE,NIUE,Niue International Airport,New Zealand,-19.08,-169.925003,209,Pacific
NJC,USNN,Nizhnevartovsk Airport,Russia,60.949268,76.483612,177,Asia
GOJ,UWGG,Nizhny Novgorod International Airport,Russia,56.23011,43.784039,256,Europe
WTK,PAWN,Noatak Airport,United States,67.563057,-162.984161,88,America
OLS,KOLS,Nogales International Airport,United States,31.417721,-110.847,3955,America
NOG,MMNG,Nogales International Airport,Mexico,31.22718,-110.977058,4087,America
QFN,LFCN,Nogaro Airport,France,43.769726,-0.035688,306,Europe
NGK,UHSN,Nogliki Airport,Russia,51.799999,143.166672,98,Asia
OME,PAOM,Nome Airport,United States,64.512199,-165.445007,37,America
ORV,PFNO,Noorvik Robert Curtis Memorial Airport,United States,66.817375,-161.023102,52,America
NSV,YNSH,Noosaville Noosa Airport,Australia,-26.423244,153.065247,4,Australia
NOD,EDWS,Norden Norddeich Airport,Germany,53.633007,7.190385,-6,Europe
NRD,EDWY,Norderney Airport,Germany,53.706821,7.230247,6,Europe
NOR,BINF,Nordfjordur Airport,Iceland,65.131943,-13.7463,13,Atlantic
